market,long profit,short profit,long wins,short wins,long losses,short losses,long uptrend size,long downtrend size,short uptrend size,short downtrend size,risk ratio tp,risk ratio sl,timeframe,long winrate,short winrate,method,date start,date end
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,2.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,3.3824201486390857,0,7,0,9,0,0,0,0,3.5,2.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-7.594699559656723,0,3,0,1,0,0,0,0,3.5,2.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.0550703942047273,0,0,0,1,0,0,0,0,3.5,2.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,2.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-1.0525131061910928,0,9,0,7,0,0,0,0,3.5,3.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-6.875864024749179,0,3,0,1,0,0,0,0,3.5,3.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.4559496349243912,0,0,0,1,0,0,0,0,3.5,3.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,3.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.755427407907272,0,3,0,13,0,0,0,0,4.0,1.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-6.661240741380508,0,1,0,3,0,0,0,0,4.0,1.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.8323323844372843,0,0,0,1,0,0,0,0,4.0,1.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.0,1.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.600633351879196,0,4,0,12,0,0,0,0,4.0,1.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-5.43646302754268,0,1,0,3,0,0,0,0,4.0,1.5,1h,0,0,1,5 May 2013,17 June 2021
